忠明平日PM2.5,埔里平日PM2.5,線西平日PM2.5,忠明假日PM2.5,埔里假日PM2.5,線西假日PM2.5
24 ,26 ,16 ,71 ,30 ,58 
30 ,20 ,15 ,75 ,19 ,52 
28 ,10 ,22 ,86 ,21 ,35 
26 ,2 ,28 ,68 ,23 ,23 
21 ,11 ,30 ,61 ,25 ,17 
27 ,26 ,35 ,39 ,41 ,17 
30 ,30 ,39 ,30 ,62 ,19 
35 ,32 ,35 ,26 ,76 ,15 
32 ,34 ,35 ,26 ,75 ,12 
32 ,35 ,36 ,24 ,64 ,12 
31 ,35 ,35 ,18 ,58 ,11 
38 ,34 ,35 ,10 ,57 ,13 
39 ,34 ,33 ,10 ,48 ,10 
38 ,33 ,28 ,6 ,23 ,7 
35 ,35 ,27 ,0 ,8 ,7 
13 ,39 ,13 ,0 ,8 ,7 
12 ,35 ,18 ,0 ,5 ,8 
10 ,35 ,20 ,5 ,3 ,10 
12 ,38 ,18 ,14 ,0 ,10 
8 ,43 ,21 ,11 ,0 ,12 
13 ,41 ,23 ,5 ,1 ,14 
14 ,40 ,23 ,7 ,3 ,9 
16 ,44 ,23 ,8 ,3 ,5 
13 ,50 ,24 ,8 ,4 ,5 
24 ,61 ,21 ,0 ,7 ,6 
29 ,63 ,27 ,0 ,7 ,8 
33 ,64 ,45 ,0 ,5 ,8 
35 ,51 ,51 ,0 ,5 ,8 
37 ,41 ,46 ,5 ,7 ,8 
41 ,42 ,49 ,6 ,5 ,13 
45 ,45 ,50 ,11 ,5 ,19 
56 ,46 ,46 ,3 ,7 ,16 
41 ,47 ,44 ,7 ,10 ,12 
51 ,51 ,46 ,8 ,12 ,10 
45 ,63 ,48 ,8 ,15 ,11 
50 ,65 ,45 ,11 ,16 ,18 
48 ,61 ,41 ,15 ,18 ,20 
49 ,58 ,43 ,14 ,15 ,16 
48 ,56 ,47 ,11 ,13 ,12 
47 ,60 ,48 ,8 ,16 ,12 
43 ,61 ,47 ,9 ,15 ,14 
49 ,59 ,50 ,9 ,12 ,12 
47 ,59 ,59 ,9 ,12 ,11 
47 ,84 ,61 ,9 ,13 ,12 
43 ,92 ,52 ,12 ,13 ,14 
43 ,68 ,50 ,15 ,13 ,14 
50 ,60 ,56 ,13 ,11 ,12 
55 ,68 ,59 ,14 ,14 ,16 
62 ,71 ,64 ,13 ,15 ,19 
63 ,64 ,62 ,10 ,16 ,21 
59 ,55 ,56 ,15 ,10 ,26 
57 ,43 ,53 ,12 ,0 ,30 
59 ,31 ,49 ,20 ,3 ,32 
57 ,33 ,45 ,21 ,8 ,31 
59 ,51 ,40 ,24 ,12 ,27 
58 ,70 ,39 ,25 ,17 ,24 
66 ,78 ,37 ,24 ,26 ,23 
56 ,89 ,34 ,20 ,30 ,21 
49 ,97 ,33 ,11 ,31 ,18 
38 ,96 ,32 ,7 ,37 ,15 
37 ,101 ,29 ,13 ,46 ,14 
32 ,102 ,29 ,13 ,45 ,16 
32 ,97 ,26 ,19 ,38 ,18 
31 ,87 ,23 ,20 ,38 ,18 
30 ,75 ,30 ,23 ,31 ,20 
29 ,73 ,35 ,20 ,31 ,24 
36 ,56 ,35 ,20 ,33 ,22 
41 ,33 ,38 ,18 ,33 ,20 
42 ,28 ,39 ,13 ,31 ,19 
40 ,27 ,34 ,14 ,27 ,17 
33 ,18 ,34 ,20 ,25 ,15 
33 ,8 ,33 ,24 ,25 ,17 
32 ,7 ,32 ,24 ,26 ,16 
38 ,10 ,33 ,30 ,20 ,15 
41 ,10 ,34 ,28 ,10 ,22 
38 ,13 ,38 ,26 ,2 ,28 
33 ,15 ,38 ,21 ,11 ,30 
36 ,12 ,32 ,27 ,26 ,35 
38 ,12 ,28 ,30 ,30 ,39 
42 ,30 ,33 ,35 ,32 ,35 
32 ,44 ,37 ,32 ,34 ,35 
38 ,43 ,37 ,32 ,35 ,36 
44 ,43 ,38 ,31 ,35 ,35 
48 ,46 ,39 ,38 ,34 ,35 
49 ,45 ,42 ,39 ,34 ,33 
45 ,43 ,45 ,38 ,33 ,28 
43 ,43 ,47 ,35 ,35 ,27 
37 ,39 ,48 ,30 ,39 ,29 
30 ,34 ,44 ,27 ,35 ,26 
28 ,38 ,38 ,22 ,29 ,22 
28 ,37 ,34 ,23 ,24 ,27 
21 ,33 ,29 ,25 ,22 ,32 
23 ,37 ,28 ,25 ,24 ,36 
19 ,40 ,28 ,26 ,23 ,45 
25 ,41 ,30 ,37 ,24 ,52 
28 ,38 ,34 ,40 ,27 ,62 
35 ,38 ,37 ,46 ,26 ,70 
37 ,35 ,33 ,48 ,22 ,72 
32 ,29 ,32 ,62 ,20 ,72 
33 ,24 ,38 ,64 ,17 ,69 
39 ,24 ,41 ,60 ,22 ,59 
47 ,25 ,41 ,51 ,30 ,60 
48 ,25 ,50 ,57 ,34 ,71 
60 ,31 ,64 ,60 ,45 ,71 
68 ,41 ,69 ,66 ,54 ,68 
88 ,44 ,72 ,68 ,60 ,67 
91 ,47 ,79 ,78 ,69 ,69 
89 ,46 ,77 ,75 ,76 ,72 
80 ,41 ,72 ,74 ,76 ,74 
63 ,40 ,65 ,71 ,73 ,76 
50 ,32 ,52 ,71 ,74 ,78 
25 ,30 ,40 ,65 ,71 ,78 
12 ,28 ,34 ,58 ,62 ,74 
6 ,19 ,33 ,60 ,62 ,67 
13 ,17 ,33 ,58 ,61 ,60 
20 ,17 ,30 ,56 ,58 ,56 
28 ,13 ,31 ,50 ,57 ,52 
29 ,13 ,30 ,51 ,60 ,46 
25 ,15 ,30 ,56 ,58 ,43 
22 ,11 ,34 ,53 ,62 ,44 
29 ,18 ,38 ,55 ,65 ,41 
35 ,19 ,43 ,56 ,62 ,41 
36 ,12 ,49 ,67 ,58 ,41 
32 ,17 ,48 ,64 ,50 ,34 
40 ,24 ,47 ,49 ,47 ,25 
46 ,38 ,46 ,36 ,51 ,21 
48 ,51 ,69 ,25 ,61 ,19 
54 ,54 ,70 ,22 ,65 ,17 
53 ,60 ,47 ,15 ,57 ,17 
58 ,66 ,47 ,16 ,51 ,17 
61 ,71 ,56 ,23 ,62 ,17 
71 ,70 ,62 ,21 ,58 ,15 
73 ,70 ,67 ,22 ,46 ,16 
79 ,72 ,74 ,16 ,48 ,16 
80 ,69 ,78 ,21 ,46 ,15 
28 ,42 ,30 ,13 ,39 ,13 
26 ,42 ,26 ,12 ,35 ,18 
36 ,38 ,28 ,10 ,35 ,20 
38 ,35 ,33 ,12 ,38 ,18 
37 ,35 ,38 ,8 ,43 ,21 
38 ,38 ,34 ,13 ,41 ,23 
35 ,41 ,25 ,14 ,40 ,23 
39 ,39 ,25 ,16 ,44 ,23 
44 ,39 ,32 ,13 ,50 ,24 
45 ,39 ,40 ,24 ,61 ,21 
44 ,44 ,48 ,29 ,63 ,27 
42 ,28 ,61 ,33 ,64 ,45 
36 ,12 ,53 ,35 ,51 ,51 
38 ,10 ,32 ,37 ,41 ,46 
37 ,8 ,37 ,41 ,42 ,49 
44 ,5 ,41 ,45 ,45 ,50 
46 ,7 ,49 ,56 ,46 ,46 
48 ,10 ,47 ,41 ,47 ,44 
47 ,17 ,37 ,51 ,51 ,46 
40 ,18 ,30 ,45 ,63 ,48 
40 ,19 ,33 ,50 ,65 ,45 
44 ,29 ,38 ,48 ,61 ,41 
46 ,35 ,38 ,49 ,58 ,43 
46 ,33 ,45 ,48 ,56 ,47 
48 ,41 ,52 ,47 ,60 ,48 
50 ,49 ,58 ,43 ,61 ,47 
53 ,42 ,58 ,49 ,59 ,50 
47 ,37 ,54 ,47 ,59 ,59 
42 ,31 ,51 ,47 ,84 ,61 
33 ,28 ,42 ,43 ,92 ,52 
33 ,22 ,35 ,43 ,68 ,50 
36 ,24 ,35 ,50 ,60 ,56 
32 ,25 ,36 ,55 ,68 ,59 
30 ,28 ,38 ,62 ,71 ,64 
25 ,38 ,40 ,63 ,64 ,62 
27 ,38 ,42 ,59 ,55 ,56 
25 ,28 ,41 ,57 ,43 ,53 
25 ,20 ,36 ,59 ,31 ,49 
32 ,18 ,35 ,57 ,33 ,45 
29 ,19 ,36 ,59 ,51 ,40 
33 ,26 ,35 ,58 ,70 ,39 
29 ,37 ,37 ,66 ,78 ,37 
32 ,53 ,40 ,56 ,89 ,34 
24 ,61 ,36 ,49 ,97 ,33 
21 ,63 ,31 ,38 ,96 ,32 
16 ,66 ,35 ,37 ,101 ,29 
21 ,64 ,36 ,32 ,102 ,29 
21 ,69 ,32 ,32 ,97 ,26 
20 ,71 ,29 ,31 ,87 ,23 
12 ,64 ,28 ,30 ,75 ,30 
8 ,61 ,30 ,29 ,73 ,35 
10 ,64 ,28 ,36 ,56 ,35 
15 ,61 ,22 ,41 ,33 ,38 
10 ,40 ,17 ,42 ,28 ,39 
9 ,24 ,15 ,40 ,27 ,34 
6 ,28 ,16 ,33 ,18 ,34 
5 ,39 ,14 ,33 ,8 ,33 
6 ,42 ,15 ,32 ,7 ,32 
5 ,30 ,18 ,38 ,10 ,33 
7 ,18 ,18 ,41 ,10 ,34 
9 ,19 ,20 ,38 ,13 ,38 
3 ,23 ,25 ,33 ,15 ,38 
