Time,Temp,PM10,PM2.5,Rain,RH,Wind
16:00,19,63,33,0,72,1.3
17:00,18,64,29,0,73,0.8
18:00,18,58,32,0,72,0.9
19:00,18,52,24,0,72,1.7
20:00,17,37,21,0,71,1.5
21:00,17,24,16,0,71,1.3
22:00,17,17,21,0,70,1.7
23:00,17,26,21,0,69,1.4
00:00,16,33,20,0,68,1
01:00,16,28,12,0,68,1.7
02:00,16,20,8,0,68,1.2
03:00,16,13,10,0,69,0.6
04:00,16,13,15,0,70,0.6
05:00,16,9,10,0,70,1.3
06:00,15,9,9,0,70,0.9
07:00,16,14,6,0,70,1.3
08:00,17,22,5,0,67,1
09:00,18,24,6,0,62,1.4
10:00,19,18,5,0,58,0.8
11:00,21,19,7,0,54,0.9
12:00,21,21,9,0,52,1.7
13:00,21,20,3,0,54,0.9
14:00,20,19,7,0,55,1.2
15:00,20,28,9,0,57,1
16:00,19,41,10,0,59,1.1
17:00,18,37,12,0,61,0.7
18:00,17,28,11,0,63,0.7
19:00,17,23,19,0,65,0.7
20:00,17,28,15,0,66,0.7
21:00,17,24,15,0,67,0.5
22:00,17,16,9,0,67,0.9
23:00,16,15,7,0,68,0.5
00:00,16,17,7,0,69,0.9
01:00,16,16,6,0,69,0.6
02:00,16,16,11,0,70,0.8
03:00,16,17,8,0,70,0.6
04:00,16,25,9,0,70,0.9
05:00,16,17,4,0,71,0.7
06:00,16,14,7,0,71,0.7
07:00,16,13,8,0,72,0.5
08:00,17,22,18,0,70,0.6
09:00,18,30,22,0,66,1.2
10:00,20,33,20,0,61,1
11:00,21,30,14,0,57,0.7
12:00,22,40,16,0,55,1.4
13:00,22,48,23,0,58,1.7
14:00,21,54,25,0,62,1.7
15:00,20,53,29,0,68,1.4
16:00,19,52,32,0,73,1.1
17:00,18,59,24,0,79,1
18:00,18,63,22,0,82,0.8
19:00,17,55,19,0,83,0.9
20:00,17,46,19,0,84,0.8
21:00,17,40,22,0,86,0.6
22:00,17,48,25,0,85,0.5
23:00,17,54,27,0,85,0.7
00:00,17,52,24,0,86,0.6
01:00,17,43,25,0,86,0.6
02:00,17,45,22,0,88,0.6
03:00,17,46,24,0,89,0.6
04:00,17,42,18,0,87,0.8
05:00,17,24,21,0,85,0.7
06:00,17,20,12,0,84,0.8
07:00,17,23,11,0,82,0.7
08:00,17,24,8,0,78,0.7
09:00,18,23,14,0,75,1.5
10:00,19,29,20,0,72,1.2
11:00,19,36,20,0,69,1.4
12:00,19,40,23,0,68,1.7
13:00,19,40,16,0,67,1.4
14:00,20,45,11,0,64,1.1
15:00,20,40,5,0,63,1.5
16:00,18,30,7,0,68,1.2
17:00,16,29,14,0,73,0.9
18:00,15,32,10,0,76,0.8
19:00,15,33,11,0,78,0.8
20:00,14,19,10,0,79,2
21:00,14,11,7,0,78,1
22:00,14,9,8,0,77,0.7
23:00,14,8,6,0,76,1.1
00:00,14,3,4,0,76,0.6
01:00,14,7,2,0,77,0.9
02:00,14,17,2,0,77,0.7
03:00,14,22,4,0,77,0.5
04:00,14,20,4,0,76,1.1
05:00,14,15,8,0,76,0.5
06:00,14,13,14,0,77,0.6
07:00,14,15,15,0,76,1.1
08:00,15,24,13,0,73,1.2
09:00,16,34,16,0,68,1.7
10:00,18,38,21,0,62,0.8
11:00,19,38,28,0,60,0.8
12:00,20,34,22,0,58,1.3
13:00,20,37,25,0,58,1.2
14:00,18,35,25,0,62,1.3
15:00,18,47,27,0,64,0.9
16:00,17,53,29,0,66,1
17:00,16,52,26,0,69,1
18:00,15,43,29,0,72,0.8
19:00,15,34,24,0,74,0.7
20:00,14,33,24,0,74,0.9
21:00,14,29,22,0,75,0.7
22:00,14,20,20,0,75,0.4
23:00,14,16,11,0,76,0.6
00:00,14,19,12,0,75,0.8
01:00,14,21,6,0,74,1.3
02:00,14,23,12,0,73,0.9
03:00,14,18,7,0,74,0.7
04:00,14,24,10,0,74,0.7
05:00,14,23,9,0,74,0.9
06:00,14,18,12,0,74,1.3
07:00,15,13,11,0,73,0.7
08:00,15,5,8,0,71,0.6
