忠明 PM10,忠明 PM2.5,忠明 RH,忠明 Temp,忠明 Rain,忠明 Wind
88,62,43,19,0,1
97,64,40,19,0,1.3
91,60,40,20,0,1.1
93,51,41,20,0,1.4
90,57,41,19,0,1
97,60,44,18,0,1.1
102,66,50,16,0,1.1
110,68,52,15,0,0.8
115,78,54,15,0,1
103,75,56,15,0,0.9
102,74,57,14,0,0.6
98,71,58,14,0,0.9
103,71,59,14,0,1.3
97,65,61,14,0,0.5
96,58,62,13,0,0.5
89,60,63,13,0,0.6
85,58,63,13,0,1.2
79,56,64,13,0,1
76,50,63,13,0,0.9
73,51,64,13,0,0.7
61,56,65,13,0,0.3
68,53,63,14,0,0.4
79,55,60,15,0,0.6
96,56,55,17,0,0.3
99,67,48,19,0,0.3
99,64,47,20,0,0.8
90,49,50,20,0,1.2
76,36,56,19,0,1.9
57,25,62,18,0,1.3
58,22,64,17,0,1
54,15,67,17,0,1.1
49,16,67,16,0,0.5
40,23,67,16,0,1.1
35,21,68,15,0,0.7
45,22,68,15,0,0.7
44,16,68,15,0,1.4
42,21,67,15,0,1.3
29,13,66,15,0,1
22,12,65,15,0,1.7
26,10,62,15,0,1.3
30,12,61,14,0,1.1
35,8,62,14,0,1.1
33,13,63,14,0,1.4
41,14,63,14,0,1.1
39,16,63,14,0,1.1
37,13,61,15,0,2
34,24,54,16,0,1.2
44,29,46,18,0,1.5
54,33,43,20,0,1.7
67,35,42,20,0,1.1
78,37,41,21,0,1.7
80,41,41,21,0,1.2
82,45,42,20,0,1.3
83,56,45,19,0,0.7
91,41,49,18,0,0.7
95,51,53,17,0,0.9
91,45,56,16,0,0.7
88,50,57,15,0,0.6
85,48,59,15,0,1
84,49,60,15,0,0.7
79,48,61,14,0,1.1
79,47,62,14,0,0.7
75,43,62,15,0,0.3
70,49,64,14,0,0.4
68,47,65,14,0,0.4
66,47,64,15,0,0.4
73,43,64,15,0,0.5
78,43,66,15,0,0.3
93,50,66,16,0,0.5
99,55,62,17,0,1.3
113,62,58,19,0,0.5
116,63,54,20,0,0.5
115,59,51,22,0,0.4
100,57,48,23,0,1.2
87,59,48,23,0,0.6
87,57,50,22,0,2.5
96,59,53,21,0,1.5
106,58,56,20,0,1.2
111,66,59,20,0,0.7
106,56,69,19,0,0.9
98,49,73,18,0,0.8
94,38,77,17,0,1
96,37,78,17,0,0.9
95,32,78,17,0,0.7
90,32,79,17,0,0.9
83,31,79,17,0,0.9
84,30,81,17,0.2,0.6
85,29,83,17,0,1
80,36,84,17,0.4,0.6
80,41,84,17,0,0.7
72,42,84,17,0,0.4
79,40,84,16,0,0.8
79,33,84,16,0,0.8
78,33,81,17,0,0.8
78,32,78,17,0,0.8
74,38,73,18,0,1
79,41,66,20,0,0.7
73,38,62,20,0,1.8
72,33,62,21,0,1.7
71,36,60,21,0,1.4
75,38,57,21,0,1.1
80,42,59,20,0,0.9
82,32,66,18,0,1.4
89,38,67,18,0,0.7
88,44,68,17,0,0.6
92,48,67,17,0,0.8
81,49,63,17,0,0.4
74,45,59,17,0,0.4
65,43,57,16,0,0.8
59,37,58,16,0,1.2
51,30,55,16,0,0.8
46,28,48,16,0,0.5
40,28,41,16,0,0.5
37,21,38,15,0,0.3
32,23,39,15,0,0.6
39,19,45,15,0,0.6
44,25,48,15,0,0.5
53,28,45,17,0,1.1
62,35,35,18,0,1.1
61,37,30,19,0,0.9
69,32,29,20,0,0.8
66,33,33,20,0,1.4
79,39,41,19,0,1.1
86,47,43,20,0,1.5
103,48,44,20,0,1
124,60,47,19,0,0.9
139,68,52,17,0,1
152,88,54,16,0,0.9
155,91,55,16,0,1.7
150,89,51,15,0,2.3
127,80,39,16,0,1.6
100,63,32,15,0,1.4
