퐑�� PM10,퐑�� PM2.5,퐑�� RH,퐑�� Temp,퐑�� Rain,퐑�� Wind
62,34,61,16,0,3.7
65,29,57,17,0,4.7
57,28,56,16,0,5.1
57,28,59,16,0,4.9
60,30,60,16,0,4.5
64,34,55,17,0,5.1
73,37,44,19,0,5.8
73,33,33,19,0,6.4
75,32,39,20,0,5.8
82,38,45,19,0,3.7
77,41,48,19,0,3.8
84,41,49,19,0,3.4
111,50,54,19,0,3.5
134,64,58,18,0,5
139,69,61,17,0,5.2
127,72,65,16,0,4.4
126,79,62,15,0,4.6
127,77,62,15,0,4
120,72,59,14,0,2.8
108,65,54,14,0,3
84,52,47,13,0,2.2
68,40,43,13,0,1.9
66,34,44,13,0,2.7
62,33,52,13,0,3.2
56,33,46,12,0,3
49,30,48,11,0,2.1
42,31,50,10,0,1.3
43,30,54,10,0,1.7
51,30,49,10,0,2
57,34,49,12,0,0.6
76,38,41,15,0,0.6
94,43,47,17,0,0.9
99,49,49,18,0,0.7
97,48,50,19,0,0.9
89,47,53,19,0,0.5
82,46,54,19,0,1.4
115,69,57,19,0,2.8
115,70,58,18,0,4.1
82,47,63,17,0,2.6
84,47,66,16,0,1.8
95,56,68,16,0,1.2
99,62,70,15,0,1.6
100,67,72,15,0,1.5
114,74,71,15,0,1.7
115,78,70,15,0,1.6
120,79,73,14,0,1.6
126,79,75,14,0,1.5
114,79,74,13,0,1.2
105,75,74,13,0,1.2
97,70,75,13,0,1
94,72,78,12,0,1.5
90,66,78,12,0,1.8
78,55,75,12,0,1.9
73,53,69,14,0,1.4
84,55,59,17,0,0.5
94,55,54,19,0,0.9
86,55,61,19,0,2.3
76,54,66,19,0,1.7
83,54,72,19,0,1.7
87,56,74,18,0,1.9
79,55,76,18,0,0.4
82,55,78,17,0,2.7
88,56,79,17,0,3.8
98,61,81,16,0,2.1
110,74,82,16,0,0.9
117,79,82,16,0,1.4
126,84,81,15,0,0.4
128,90,80,15,0,1.3
126,85,72,16,0,1
125,83,74,16,0,0.8
126,85,74,16,0,0.2
131,87,75,16,0,0.8
127,88,76,16,0,0.9
117,81,76,16,0,1.1
110,74,75,16,0,0.3
101,71,78,16,0,1.4
86,59,86,16,0,1.9
76,50,84,17,0,3.9
82,51,76,18,0,3.5
98,59,68,20,0,2
103,64,64,20,0,1.2
92,58,70,20,0,1.7
89,55,73,20,0,0.5
98,50,75,20,0,0.3
100,50,75,20,0,0.3
98,55,76,20,0,1.5
94,54,74,19,0,1.2
72,40,78,18,0,2.2
55,26,83,18,0,0.4
48,23,86,18,0,0.5
40,19,86,18,0,2.2
40,21,83,18,0,3.2
46,29,80,17,0,3.1
49,30,80,17,0,2.7
44,26,79,17,0,2.5
46,28,82,17,0.2,3
50,33,83,17,0.4,3.8
46,38,85,17,3.4,0.8
43,34,86,17,4,1
39,25,85,16,0.4,2.3
42,25,85,17,0,2.5
46,32,84,18,0,2.3
51,40,81,18,0,1.1
68,48,78,19,0,1
86,61,76,20,0,1.4
78,53,79,19,0,0.2
57,32,81,19,0,2.7
60,37,84,18,0,2.4
62,41,85,18,0,4.2
70,49,83,18,0,3.6
70,47,83,18,0,2.6
55,37,81,18,0,3.2
44,30,80,19,0,3.1
48,33,84,18,0,3
60,38,85,18,0,2.3
71,38,86,18,0,1.3
79,45,88,18,0,0.7
87,52,89,18,0.2,2.1
92,58,90,18,0.6,2.7
88,58,91,18,0,2.8
77,54,91,18,0,3.4
68,51,92,18,0.2,4
57,42,92,18,0.2,3.9
53,35,92,17,0,3.5
46,35,91,18,0,3.1
44,36,90,18,0,3.5
51,38,88,18,0,4.5
60,40,85,19,0,4.9
70,42,84,19,0,5.4
68,41,82,19,0,5.3
66,36,83,19,0,5.2
65,35,83,19,0,4.7
66,36,82,19,0,4.8
66,35,81,19,0,6
67,37,83,18,0,5.7
62,40,83,18,0,5.5
48,36,81,17,0,5.2
43,31,81,17,0,5.3
46,35,80,17,0,5.5
53,36,80,16,0,6.1
48,32,80,16,0,5.6
45,29,79,16,0,5.8
43,28,79,16,0,5.8
39,30,79,16,0,5.5
39,28,79,16,0,5.7
35,22,81,16,0,6.2
31,17,82,15,0,5.6
23,15,80,15,0,5
23,16,78,16,0,5.8
32,14,75,17,0,6.4
46,15,72,18,0,5.5
59,18,72,18,0,6.1
66,18,70,19,0,6.8
71,20,69,19,0,7
75,25,70,19,0,6.3
75,26,73,18,0,5.9
67,24,75,18,0,6.1
57,21,75,18,0,6
53,18,76,17,0,5.6
45,17,76,17,0,4.3
37,15,76,17,0,3.9
34,14,76,17,0,3.8
29,15,76,17,0,3.4
26,11,75,17,0,3.5
28,10,77,17,0,3.6
31,11,77,17,0,4.8
28,13,77,16,0,4.6
29,14,79,16,0,4.6
31,10,80,16,0,4.5
27,9,81,16,0,4.6
27,11,81,16,0,4.2
29,14,81,16,0,4.3
32,13,81,16,0,5
32,10,78,17,0,5.1
35,15,72,19,0,4.5
51,17,72,20,0,3.4
62,18,73,20,0,2.5
59,18,74,19,0,2.8
59,14,75,19,0,3.8
60,16,78,19,0,3.5
60,18,80,18,0,2.9
60,20,83,18,0,4.3
59,16,83,18,0,4.4
56,11,84,18,0,4.4
54,12,85,17,0,4.7
56,15,86,17,0,4.1
54,14,86,17,0,3.6
48,15,87,17,0,3.2
49,20,87,17,0,3.8
53,19,87,17,0,3.4
48,17,87,17,0,3.9
49,15,88,17,0,4.9
43,11,88,17,0,5
37,15,87,17,0,5.1
42,18,86,17,0,5.4
44,19,85,17,0,5.5
40,18,85,16,0,5.8
